mushaf_id,page_number,juz_number,start_text
1,98,5,"وَالَّذِينَ آمَنُوا وَعَمِلُوا"
1,99,5,"وَإِنِ امْرَأَةٌ خَافَتْ"
1,100,5,"يَاأَيُّهَا الَّذِينَ آمَنُوا"
1,101,5,"الَّذِينَ يَتَرَبَّصُونَ بِكُمْ"
1,102,6,"لَا يُحِبُّ اللَّهُ"
1,103,6,"فَبِمَا نَقْضِهِمْ مِيثَاقَهُمْ"
1,104,6,"إِنَّا أَوْحَيْنَا إِلَيْكَ"
1,105,6,"يَاأَهْلَ الْكِتَابِ لَا"
1,106,6,"يَسْتَفْتُونَكَ قُلِ اللَّهُ"
1,107,6,"حُرِّمَتْ عَلَيْكُمُ الْمَيْتَةُ"
1,108,6,"يَاأَيُّهَا الَّذِينَ آمَنُوا"
1,109,6,"وَالَّذِينَ كَفَرُوا وَكَذَّبُوا"
1,110,6,"وَمِنَ الَّذِينَ قَالُوا"
1,111,6,"وَقَالَتِ الْيَهُودُ وَالنَّصَارَى"
1,112,6,"قَالُوا يَامُوسَى إِنَّا"
1,113,6,"مِنْ أَجْلِ ذَلِكَ"
1,114,6,"يُرِيدُونَ أَنْ يَخْرُجُوا"
1,115,6,"سَمَّاعُونَ لِلْكَذِبِ أَكَّالُونَ"
1,116,6,"وَقَفَّيْنَا عَلَى آثَارِهِمْ"
1,117,6,"يَاأَيُّهَا الَّذِينَ آمَنُوا"
1,118,6,"وَإِذَا نَادَيْتُمْ إِلَى"
1,119,6,"وَلَوْ أَنَّ أَهْلَ"
1,120,6,"وَحَسِبُوا أَلَّا تَكُونَ"
1,121,6,"لُعِنَ الَّذِينَ كَفَرُوا"
1,122,7,"وَمَا لَنَا لَا"
1,123,7,"إِنَّمَا يُرِيدُ الشَّيْطَانُ"
1,124,7,"أُحِلَّ لَكُمْ صَيْدُ"
1,125,7,"وَإِذَا قِيلَ لَهُمْ"
1,126,7,"يَوْمَ يَجْمَعُ اللَّهُ"
1,127,7,"قَالَ عِيسَى ابْنُ"
1,128,7,"الْحَمْدُ لِلَّهِ الَّذِي"
1,129,7,"وَلَوْ جَعَلْنَاهُ مَلَكًا"
1,130,7,"قُلْ أَيُّ شَيْءٍ"
1,131,7,"بَلْ بَدَا لَهُمْ"
1,132,7,"إِنَّمَا يَسْتَجِيبُ الَّذِينَ"
1,133,7,"فَقُطِعَ دَابِرُ الْقَوْمِ"
1,134,7,"وَكَذَلِكَ فَتَنَّا بَعْضَهُمْ"
1,135,7,"وَهُوَ الَّذِي يَتَوَفَّاكُمْ"
1,136,7,"وَمَا عَلَى الَّذِينَ"
1,137,7,"وَإِذْ قَالَ إِبْرَاهِيمُ"
1,138,7,"الَّذِينَ آمَنُوا وَلَمْ"
1,139,7,"وَمَا قَدَرُوا اللَّهَ"
1,140,7,"إِنَّ اللَّهَ فَالِقُ"
1,141,7,"ذَلِكُمُ اللَّهُ رَبُّكُمْ"
1,142,8,"وَلَوْ أَنَّنَا نَزَّلْنَا"
1,143,8,"وَمَا لَكُمْ أَلَّا"
1,144,8,"فَمَنْ يُرِدِ اللَّهُ"
1,145,8,"ذَلِكَ أَنْ لَمْ"
1,146,8,"وَقَالُوا هَذِهِ أَنْعَامٌ"
1,147,8,"ثَمَانِيَةَ أَزْوَاجٍ مِنَ"
1,148,8,"فَإِنْ كَذَّبُوكَ فَقُلْ"
1,149,8,"وَلَا تَقْرَبُوا مَالَ"
1,150,8,"هَلْ يَنْظُرُونَ إِلَّا"
1,151,8,"المص كِتَابٌ أُنْزِلَ"
1,152,8,"قَالَ مَا مَنَعَكَ"
1,153,8,"قَالَا رَبَّنَا ظَلَمْنَا"
1,154,8,"يَابَنِي آدَمَ خُذُوا"
1,155,8,"قَالَ ادْخُلُوا فِي"
1,156,8,"وَنَادَى أَصْحَابُ الْجَنَّةِ"
1,157,8,"وَلَقَدْ جِئْنَاهُمْ بِكِتَابٍ"
1,158,8,"وَالْبَلَدُ الطَّيِّبُ يَخْرُجُ"
1,159,8,"أُبَلِّغُكُمْ رِسَالَاتِ رَبِّي"
1,160,8,"وَاذْكُرُوا إِذْ جَعَلَكُمْ"
1,161,8,"وَمَا كَانَ جَوَابَ"
1,162,9,"قَالَ الْمَلَأُ الَّذِينَ"
1,163,9,"وَلَوْ أَنَّ أَهْلَ"
1,164,9,"حَقِيقٌ عَلَى أَنْ"
1,165,9,"قَالُوا آمَنَّا بِرَبِّ"
1,166,9,"فَإِذَا جَاءَتْهُمُ الْحَسَنَةُ"
1,167,9,"وَجَاوَزْنَا بِبَنِي إِسْرَائِيلَ"
1,168,9,"قَالَ يَامُوسَى إِنِّي"
1,169,9,"وَلَمَّا رَجَعَ مُوسَى"
1,170,9,"وَاكْتُبْ لَنَا فِي"
1,171,9,"وَقَطَّعْنَاهُمُ اثْنَتَيْ عَشْرَةَ"
1,172,9,"وَإِذْ قَالَتْ أُمَّةٌ"
1,173,9,"وَإِذْ نَتَقْنَا الْجَبَلَ"
1,174,9,"وَلَقَدْ ذَرَأْنَا لِجَهَنَّمَ"
1,175,9,"قُلْ لَا أَمْلِكُ"
1,176,9,"إِنَّ وَلِيِّيَ اللَّهُ"
1,177,9,"يَسْأَلُونَكَ عَنِ الْأَنْفَالِ"
1,178,9,"إِذْ تَسْتَغِيثُونَ رَبَّكُمْ"
1,179,9,"فَلَمْ تَقْتُلُوهُمْ وَلَكِنَّ"
1,180,9,"وَاذْكُرُوا إِذْ أَنْتُمْ"
1,181,9,"وَمَا لَهُمْ أَلَّا"
1,182,10,"وَاعْلَمُوا أَنَّمَا غَنِمْتُمْ"
1,183,10,"وَأَطِيعُوا اللَّهَ وَرَسُولَهُ"
1,184,10,"ذَلِكَ بِأَنَّ اللَّهَ"
1,185,10,"وَإِنْ يُرِيدُوا أَنْ"
1,186,10,"يَاأَيُّهَا النَّبِيُّ قُلْ"
1,187,10,"بَرَاءَةٌ مِنَ اللَّهِ"
1,188,10,"كَيْفَ يَكُونُ لِلْمُشْرِكِينَ"
1,189,10,"قَاتِلُوهُمْ يُعَذِّبْهُمُ اللَّهُ"
1,190,10,"يُبَشِّرُهُمْ رَبُّهُمْ بِرَحْمَةٍ"
1,191,10,"ثُمَّ يَتُوبُ اللَّهُ"
1,192,10,"يُرِيدُونَ أَنْ يُطْفِئُوا"
1,193,10,"إِنَّمَا النَّسِيءُ زِيَادَةٌ"
1,194,10,"انْفِرُوا خِفَافًا وَثِقَالًا"
1,195,10,"لَقَدِ ابْتَغَوُا الْفِتْنَةَ"
1,196,10,"فَلَا تُعْجِبْكَ أَمْوَالُهُمْ"
1,197,10,"يَحْلِفُونَ بِاللَّهِ لَكُمْ"
1,198,10,"كَالَّذِينَ مِنْ قَبْلِكُمْ"
1,199,10,"يَاأَيُّهَا النَّبِيُّ جَاهِدِ"
1,200,10,"اسْتَغْفِرْ لَهُمْ أَوْ"
1,201,10,"رَضُوا بِأَنْ يَكُونُوا"
1,202,11,"يَعْتَذِرُونَ إِلَيْكُمْ إِذَا"
1,203,11,"وَالسَّابِقُونَ الْأَوَّلُونَ مِنَ"
1,204,11,"وَالَّذِينَ اتَّخَذُوا مَسْجِدًا"
1,205,11,"التَّائِبُونَ الْعَابِدُونَ الْحَامِدُونَ"
1,206,11,"وَعَلَى الثَّلَاثَةِ الَّذِينَ"
1,207,11,"يَاأَيُّهَا الَّذِينَ آمَنُوا"
1,208,11,"الر تِلْكَ آيَاتُ"
1,209,11,"إِنَّ الَّذِينَ لَا"
1,210,11,"وَإِذَا تُتْلَى عَلَيْهِمْ"
1,211,11,"وَإِذَا أَذَقْنَا النَّاسَ"
1,212,11,"لِلَّذِينَ أَحْسَنُوا الْحُسْنَى"
1,213,11,"قُلْ هَلْ مِنْ"
1,214,11,"وَمِنْهُمْ مَنْ يَنْظُرُ"
1,215,11,"وَلَوْ أَنَّ لِكُلِّ"
1,216,11,"أَلَا إِنَّ أَوْلِيَاءَ"
1,217,11,"وَاتْلُ عَلَيْهِمْ نَبَأَ"
1,218,11,"وَقَالَ فِرْعَوْنُ ائْتُونِي"
1,219,11,"قَالَ قَدْ أُجِيبَتْ"
1,220,11,"فَلَوْلَا كَانَتْ قَرْيَةٌ"
1,221,11,"وَإِنْ يَمْسَسْكَ اللَّهُ"
1,222,12,"وَمَا مِنْ دَابَّةٍ"
1,223,12,"أَمْ يَقُولُونَ افْتَرَاهُ"
1,224,12,"أُولَئِكَ لَمْ يَكُونُوا"
1,225,12,"وَيَاقَوْمِ لَا أَسْأَلُكُمْ"
1,226,12,"وَيَصْنَعُ الْفُلْكَ وَكُلَّمَا"
1,227,12,"قَالَ يَانُوحُ إِنَّهُ"
1,228,12,"إِنْ نَقُولُ إِلَّا"
1,229,12,"قَالَ يَاقَوْمِ أَرَأَيْتُمْ"
1,230,12,"قَالَتْ يَاوَيْلَتَى أَأَلِدُ"
1,231,12,"فَلَمَّا جَاءَ أَمْرُنَا"
1,232,12,"وَيَاقَوْمِ لَا يَجْرِمَنَّكُمْ"
1,233,12,"يَقْدُمُ قَوْمَهُ يَوْمَ"
1,234,12,"فَلَا تَكُ فِي"
1,235,12,"وَلَوْ شَاءَ رَبُّكَ"
1,236,12,"قَالَ يَابُنَيَّ لَا"
1,237,12,"فَلَمَّا ذَهَبُوا بِهِ"
1,238,12,"وَرَاوَدَتْهُ الَّتِي هُوَ"
1,239,12,"فَلَمَّا سَمِعَتْ بِمَكْرِهِنَّ"
1,240,12,"وَاتَّبَعْتُ مِلَّةَ آبَائِي"
1,241,12,"قَالُوا أَضْغَاثُ أَحْلَامٍ"
